"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","34","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","12.536864","0","25"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.653565","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","681.992737","0","100"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","25","27","1","23.539354","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","7.279931","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","6.211934","0","13"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","0","16","16","2","10.739505","0","16"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","0","10","12","2","12.587546","0","12"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","42.786003","0","50"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","71.119514","0","58"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","22.212881","0","18"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.575752","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.348491","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","11","11","1","7.437547","0","11"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","109","109","1","105.618538","0","109"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","6.261921","0","6"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","27.987053","0","27"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","97.276649","0","84"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","706","729","1","486.642151","0","729"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.040604","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","25","27","1","18.285917","0","27"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","4.429882","0","6"
"/Game/Template_Characters/Third_Person/Mannequins/Materials/M_Mannequin.M_Mannequin","0","78","84","2","88.345139","0","84"
"/Game/Template_Characters/First_Person/Character/Materials/M_Mannequin.M_Mannequin","0","78","84","2","0.000000","0","84"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","0","12","12","1","6.737421","0","12"
"/InterchangeAssets/gltf/M_Default.M_Default","0","361","388","6","913.623779","0","388"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","12","12","1","8.377179","0","12"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","361","388","6","699.111450","0","388"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","45","45","1","44.177361","0","45"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","45","45","1","40.827644","0","45"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.065000","0","2"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","349","364","6","658.767822","0","364"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.999404","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","45","48","1","50.222969","0","48"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","36","36","1","31.861540","0","36"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","62.082077","0","63"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","6.300283","0","9"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","63","1","57.188736","0","63"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","8.745800","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","6.165670","0","13"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","92","98","1","86.767929","0","98"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","45","45","1","43.036652","0","45"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","63","1","0.000000","0","63"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","13.364501","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.333628","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","21.446953","0","24"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.265749","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","10.422043","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.243686","0","3"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","0","36","36","1","32.987694","0","36"
"/Game/Weapon_Packs/FPS_Weapon_Bundle/Weapons/Materials/Master_Material/M_Weapon_Master_USE.M_Weapon_Master_USE","0","69","73","1","70.114067","0","73"
"/Engine/EditorMaterials/GridMaterial.GridMaterial","0","12","12","1","10.065008","0","12"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","45","45","1","0.000000","0","45"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","21","21","1","18.142538","0","21"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","63","63","3","72.720016","0","63"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","349","364","6","817.330444","0","364"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","114","114","2","1612.346680","0","114"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","8.277065","0","10"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","135","150","6","126.527771","0","150"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_primitive_dyn2.M_ky_primitive_dyn2","0","15","15","1","10.119847","0","15"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_dust01_4x4.M_ky_dust01_4x4","0","9","9","1","6.359968","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","22.748960","0","24"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","66","66","1","20.964361","0","66"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_base_anime.M_ky_base_anime","0","24","24","2","16.780941","0","24"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_starDust.M_ky_starDust","0","64","72","2","53.397190","0","72"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","8.938715","0","9"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","6.731613","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","7","1","2.987595","0","7"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","92","98","1","102.946457","0","98"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","0","8","8","1","3.148773","0","8"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","0","7","7","1","3.063166","0","7"
"/Game/Weapon_Packs/MilitaryWeapDark/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","0","45","45","1","45.142208","0","45"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","0","9","9","1","6.029068","0","9"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","0","54","54","1","48.229359","0","54"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","28.147718","0","29"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","9","9","1","5.978204","0","9"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","0","9","9","1","0.000000","0","9"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","0","7","7","1","2.922890","0","7"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","135","135","1","61.679604","0","135"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_subUV01.M_ky_subUV01","0","20","20","1","14.060362","0","20"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","12.425752","0","25"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_auraWall02.M_ky_auraWall02","0","32","32","2","19.061014","0","32"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","9","9","1","6.590206","0","9"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","9","9","1","0.000000","0","9"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","9","9","1","6.277331","0","9"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","54","54","1","49.238121","0","54"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","12","12","1","8.520526","0","12"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","7","7","1","2.746059","0","7"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","15","15","1","9.537666","0","15"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","7","7","1","1.364088","0","7"
"/Game/Weapon_Packs/MilitaryWeapSilver/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","0","45","45","1","44.664486","0","45"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_GlowSphere_01.M_GlowSphere_01","0","12","12","1","7.581966","0","12"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_Smoke_2x2_A.M_Pistol_Smoke_2x2_A","0","54","0","1","0.000000","0","0"
"Globals","49","34","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","2.851974","0","4"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","18","20","1","22.081224","0","20"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","5","1","5.525525","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","5","1","3.178910","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","8","1","5.504034","0","8"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","29","31","1","24.607582","0","31"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","47","50","1","34.500278","0","50"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","7","7","1","3.393584","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","2.320746","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","8","1","4.550791","0","8"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","62","65","1","46.482990","0","65"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","38","38","1","21.397943","0","38"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","82","82","1","89.727020","0","82"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","10","11","1","5.306337","0","11"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","26","1","17.020493","0","26"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","63","63","1","0.000000","0","63"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","62","65","1","0.000000","0","65"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","14","16","1","16.487791","0","16"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","5","1","1.317880","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","5","1","2.528352","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","14","1","8.824518","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","5","1","2.489285","0","5"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","100","106","1","70.532669","0","106"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","49","14","14","1","5.693804","0","14"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","100","100","1","0.000000","0","100"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","62","62","1","67.204048","0","62"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","62","62","1","63.525288","0","62"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","83","83","1","54.808525","0","83"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","28","1","14.517865","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","12","12","1","5.235090","0","12"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","10","11","1","8.433050","0","11"
"/ControlRig/M_Manip.M_Manip","49","10","11","1","6.849658","0","11"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","2.250974","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","2.188664","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","61","66","6","30.023304","0","66"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","100","106","1","100.713165","0","106"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","49","14","14","1","5.279876","0","14"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","12","12","1","7.898446","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","13","13","1","4.562113","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","19.315870","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","15.027841","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","13","13","1","5.260656","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","13","13","1","5.454769","0","13"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","49","16","16","2","4.288929","0","16"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","49","14","16","2","9.670987","0","16"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","62","66","1","44.810287","0","66"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","88","92","1","60.363098","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","11","11","1","0.000000","0","11"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","109","109","1","0.000000","0","109"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1341","1364","1","0.000000","0","1364"
"/Game/Weapon_Packs/MilitaryWeapDark/Weapons/Materials/M_WeaponMaster_01.M_WeaponMaster_01","49","47","47","1","32.015644","0","47"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","49","11","11","1","3.890676","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","49","56","56","1","31.963493","0","56"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","49","11","11","1","3.418142","0","11"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","31","33","1","11.612010","0","33"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","49","7","7","1","2.008897","0","7"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","49","8","8","1","2.283097","0","8"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","49","7","7","1","1.979324","0","7"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","139","139","1","41.060287","0","139"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_subUV01.M_ky_subUV01","49","22","22","1","9.914693","0","22"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","63","63","1","23.836748","0","63"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_base_anime.M_ky_base_anime","49","28","28","2","14.454673","0","28"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","1.776330","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","2.407458","0","7"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","49","14","14","1","6.200270","0","14"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","49","11","11","1","4.806603","0","11"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","49","17","17","1","7.824963","0","17"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","49","56","56","1","31.919765","0","56"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","49","11","11","1","2.456797","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","49","11","11","1","0.000000","0","11"
