"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5855","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","65","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","2.867063","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","5.146070","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","4.798215","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","1.617131","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","20","1","16.520826","0","20"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","2.533920","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","7.781888","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","1.351705","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","1.547156","0","5"
"/Game/Weapon_Packs/MilitaryWeapDark/FX/Materials/M_Woodchips_8x1_01.M_Woodchips_8x1_01","0","56","56","1","31.021990","0","56"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","4.230475","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","2.740920","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.598701","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","29","1","20.608727","0","29"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","23","1","21.409342","0","23"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","23","1","21.511986","0","23"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","23","1","21.401970","0","23"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","23","1","25.280046","0","23"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","23","1","21.785837","0","23"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","11","11","1","6.662238","0","11"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","11","11","1","7.126278","0","11"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","74","74","1","43.103752","0","74"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","23","23","1","19.129154","0","23"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","23","23","1","21.036381","0","23"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","23","23","1","21.541128","0","23"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","23","23","1","21.441275","0","23"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","23","23","1","21.491486","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","23","23","1","22.787443","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","23","23","1","22.216831","0","23"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","23","23","1","21.061043","0","23"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","23","23","1","22.013136","0","23"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","23","23","1","20.601551","0","23"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","23","23","1","22.138603","0","23"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","42","44","1","34.993382","0","44"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","17","17","1","9.488382","0","17"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","23","23","1","19.698126","0","23"
"/Game/Weapon_Packs/MilitaryWeapDark/FX/Materials/M_Tracer_A.M_Tracer_A","0","12","12","1","7.030295","0","12"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","23","23","1","17.386591","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","23","23","1","21.179199","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","23","23","1","17.556906","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","23","23","1","17.324295","0","23"
"/Game/Weapon_Packs/FPS_Weapon_Bundle/Weapons/Materials/RDS/M_RDS_Glass.M_RDS_Glass","0","35","35","1","195.214905","0","35"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_vortex04_4x4.M_ky_vortex04_4x4","0","36","36","2","14.154737","0","36"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","28","28","2","15.939135","0","28"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_base.M_ky_base","0","28","28","2","15.585923","0","28"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_flare01_primitive.M_ky_flare01_primitive","0","34","34","2","14.408972","0","34"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_flarePillar.M_ky_flarePillar","0","22","0","1","0.000000","0","0"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_thunderForBeam.M_ky_thunderForBeam","0","14","14","1","7.689341","0","14"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_circle01_4x4G_nonD.M_ky_circle01_4x4G_nonD","0","14","14","1","8.892970","0","14"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_chantDecoA.M_ky_chantDecoA","0","22","22","1","12.301067","0","22"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_subUV_dynRGB.M_ky_subUV_dynRGB","0","14","14","1","8.359650","0","14"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_subUV03.M_ky_subUV03","0","14","14","1","7.631802","0","14"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_subUV01.M_ky_subUV01","0","22","22","1","12.752772","0","22"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_Fresnel.M_ky_Fresnel","0","22","22","1","15.439054","0","22"
"/Game/FX_Effects/FXVarietyPack/Materials/M_ky_base_anime.M_ky_base_anime","0","28","28","2","13.710133","0","28"
"/Game/FX_Effects/FXVarietyPack/EpicContent/Materials/M_Glass.M_Glass","0","29","29","1","24.078232","7","29"
"/Game/FX_Effects/FXVarietyPack/EpicContent/Materials/M_DemoRoomTiles.M_DemoRoomTiles","0","26","27","1","29.376272","0","27"
"/Game/FX_Effects/FXVarietyPack/EpicContent/Materials/M_DemoWallPattern.M_DemoWallPattern","0","69","69","3","60.556725","0","69"
"/Game/LevelPrototyping/Your_WINNER_Mat.Your_WINNER_Mat","0","29","31","1","25.792240","0","31"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","10","11","1","6.277391","0","11"
"/Game/Weapon_Packs/FPS_Starter_Weapon/Materials/BaseMaterial.BaseMaterial","0","47","47","1","48.075699","0","47"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","7","7","1","2.899480","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","7","7","1","2.057680","0","7"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","62","65","1","58.570538","0","65"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Woodchips_8x1_01.M_Woodchips_8x1_01","0","56","56","1","0.000000","0","56"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","0","11","11","1","6.436819","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","0","56","56","1","42.842621","0","56"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_SmokeSimple_01.M_SmokeSimple_01","0","74","74","1","55.422024","0","74"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_SmokeRibbon_01.M_SmokeRibbon_01","0","38","38","1","29.890211","0","38"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Shockwave_Refraction_01.M_Shockwave_Refraction_01","0","17","17","1","9.543011","0","17"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_RockMesh_01.M_RockMesh_01","0","26","26","1","21.663160","0","26"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_RockSmall_01.M_RockSmall_01","0","11","11","1","0.000000","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","11","11","1","3.645914","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","11","11","1","0.000000","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_LightRay_01.M_LightRay_01","0","11","11","1","6.216507","0","11"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Knife_RibbonTrail_01.M_Knife_RibbonTrail_01","0","16","16","1","10.995192","0","16"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Pistol_Smoke_2x2_A.M_Pistol_Smoke_2x2_A","0","56","56","1","38.412273","0","56"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","11","11","1","0.000000","0","11"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","94","100","1","82.541649","0","100"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","62","65","1","0.000000","0","65"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","14","1","13.967810","0","14"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","14","14","1","7.738817","0","14"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","20.144665","0","26"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","23","1","18.075087","0","23"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","47","47","1","0.000000","0","47"
"/Game/Weapon_Packs/MilitaryWeapDark/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","11","11","1","0.000000","0","11"
"/Game/Weapon_Packs/MilitaryWeapDark/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","11","11","1","0.000000","0","11"
"/Game/Weapon_Packs/FPS_Weapon_Bundle/Weapons/Materials/Master_Material/M_RDS_Master.M_RDS_Master","0","10","10","2","7.030627","0","10"
"/Game/Weapon_Packs/FPS_Weapon_Bundle/Weapons/Materials/Master_Material/M_Weapon_Master_USE.M_Weapon_Master_USE","0","213","225","3","202.538193","3","225"
"/Game/Weapon_Packs/FPS_Weapon_Bundle/Weapons/Materials/Master_Material/M_Scope_Lens_MASTER.M_Scope_Lens_MASTER","0","56","56","2","227.900635","0","56"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","24.448380","0","45"
"/Game/Weapon_Packs/MilitaryWeapSilver/FX/Materials/M_Tracer_A.M_Tracer_A","0","12","12","1","0.000000","0","12"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","23","23","1","14.518178","0","23"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","23","1","17.078550","0","23"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","35","35","1","81.152962","0","35"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","23","1","16.697430","0","23"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","11","11","1","6.584247","0","11"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","56","56","1","40.685215","0","56"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","23","1","19.390497","0","23"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","23","1","19.757339","0","23"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","38","38","1","32.602909","0","38"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","67","1","37.648731","0","67"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","23","1","21.829014","0","23"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","23","1","19.331825","0","23"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","23","1","19.240757","0","23"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","23","1","17.874254","0","23"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","23","1","16.485823","0","23"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","23","1","19.525772","0","23"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","23","1","19.526415","0","23"
